Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s)
521,1 7 9 9,7.64,94.9%,8.12,3.18
522,3 9 13 13,7.64,86%,7.78,3.4
523,1 2 2 4,7.65,95.8%,7.99,2.48
524,2 6 6 6,7.65,96.1%,8.17,3.05
525,2 6 9 11,7.65,96%,8.15,3.19
526,2 10 10 13,7.65,89.8%,7.94,3.13
527,6 7 11 13,7.65,90.3%,8.08,3.6
528,2 10 10 11,7.66,85.2%,7.49,3.06
529,3 3 5 5,7.66,89.4%,8,3.31
530,3 9 11 11,7.67,85.5%,7.79,3.49
531,1 4 4 4,7.68,95.9%,8.15,2.99
532,3 5 5 7,7.68,90.3%,7.92,3.21
533,4 4 8 8,7.68,96%,8.28,3.22
534,3 5 6 12,7.71,93.4%,8.23,3.32
535,3 4 4 7,7.72,90.6%,8.18,3.57
536,3 3 10 13,7.74,89.5%,7.99,3.64
537,3 4 4 12,7.74,90.7%,8.05,3.38
538,3 7 9 10,7.75,92%,8.3,3.55
539,2 3 5 6,7.76,95.4%,8.24,3.04
540,2 2 4 10,7.77,94.4%,8.13,2.93
541,2 8 12 13,7.77,89.7%,8.01,3.58
542,5 5 10 11,7.77,87.4%,8.11,3.84
543,6 6 6 9,7.77,89.8%,8.3,4.08
544,1 3 8 12,7.78,96.8%,8.3,2.95
545,1 2 12 13,7.79,96.4%,8.51,3.44
546,1 2 4 11,7.8,92.3%,8.07,2.85
547,1 8 9 13,7.8,91.6%,8.23,3.71
548,9 11 13 13,7.8,92.4%,8.35,3.32
549,1 2 2 5,7.81,94.7%,8.12,2.87
550,1 3 5 11,7.81,93.2%,8.15,2.92
551,2 2 2 10,7.81,94%,8.27,3.42
552,4 8 12 13,7.81,92.1%,8.44,3.81
553,2 6 6 11,7.82,82.8%,7.6,3.34
554,3 4 9 12,7.82,94.4%,8.28,3.23
555,3 6 10 12,7.82,93.1%,8.33,3.56
556,1 9 11 11,7.83,90.2%,7.99,3.06
557,2 4 4 13,7.84,85.5%,7.98,3.65
558,2 6 6 13,7.84,84.9%,7.73,3.24
559,2 4 5 13,7.85,94.8%,8.41,3.35
560,4 7 9 10,7.85,91%,8.4,3.76
561,1 4 10 11,7.87,95.1%,8.33,3.25
562,3 3 4 12,7.87,95.1%,8.5,3.25
563,4 4 7 9,7.87,93.5%,8.26,3.52
564,4 8 10 11,7.87,90.8%,8.22,3.56
565,8 9 11 13,7.87,90.4%,8.33,3.79
566,2 6 8 11,7.88,93.4%,8.36,3.47
567,3 4 4 9,7.89,90.9%,8.46,3.5
568,4 5 7 8,7.89,95.5%,8.36,3.14
569,2 7 8 8,7.9,92.6%,8.27,3.26
570,1 4 8 11,7.91,95.7%,8.37,2.93
571,3 3 4 7,7.91,90.3%,8.39,3.63
572,2 6 11 13,7.92,90%,8.1,3.48
573,1 4 9 12,7.93,96.2%,8.55,3.36
574,3 6 6 9,7.93,96.4%,8.47,3.12
575,3 6 12 12,7.94,93.2%,8.5,3.62
576,5 6 7 8,7.94,93.8%,8.4,3.18
577,5 6 10 10,7.94,86.6%,8.16,3.89
578,2 4 4 11,7.95,84.7%,7.93,3.64
579,8 8 8 12,7.95,88.2%,8.28,4.21
580,2 2 9 11,7.96,91.6%,8.28,3.3
581,7 10 12 12,7.96,84.4%,8.03,4.03
582,1 2 9 12,7.97,92.7%,8.51,3.86
583,3 9 10 10,7.98,84.9%,7.9,3.56
584,3 9 12 12,7.98,90.8%,8.51,3.71
585,3 4 12 13,7.99,93.3%,8.63,3.79
586,5 6 10 11,7.99,90.3%,8.33,3.6
587,1 4 4 10,8,92.3%,8.22,3.48
588,1 5 6 10,8,91.9%,8.36,3.33
589,2 2 6 12,8.01,94.2%,8.58,3.56
590,3 5 8 11,8.01,89.5%,8.36,3.63
591,5 8 8 9,8.01,87.2%,8.32,4.05
592,1 4 6 11,8.02,92.6%,8.35,3.24
593,2 4 6 10,8.02,94.1%,8.52,3.43
594,2 2 4 8,8.03,95.9%,8.58,3.17
595,2 7 7 11,8.03,86.3%,8.06,3.75
596,3 12 12 12,8.03,90.9%,8.34,3.5
597,3 6 10 10,8.04,85.7%,8.03,3.79
598,5 6 6 6,8.04,87.4%,8.24,3.74
599,1 2 5 9,8.05,95.3%,8.51,3.06
600,6 6 9 12,8.05,91.9%,8.3,3.37
601,10 12 13 13,8.05,94.6%,8.6,3.03
602,1 2 6 9,8.06,94.6%,8.65,3.61
603,2 2 3 3,8.07,93.4%,8.42,3.28
604,3 6 7 9,8.07,93.4%,8.56,3.59
605,4 6 8 9,8.07,93.8%,8.59,3.56
606,6 6 10 12,8.07,93.6%,8.46,3.22
607,8 10 13 13,8.07,92.6%,8.47,3.39
608,2 3 3 6,8.08,96.4%,8.55,2.96
609,3 4 7 9,8.08,93.6%,8.54,3.74
610,1 6 9 13,8.09,90.8%,8.42,4.07
611,2 5 5 11,8.09,83.3%,7.94,3.62
612,2 6 8 10,8.09,93.7%,8.55,3.58
613,7 8 11 13,8.11,90.6%,8.65,3.9
614,1 4 4 9,8.12,94.2%,8.63,3.56
615,2 3 5 11,8.12,95.1%,8.62,3.31
616,3 7 12 12,8.12,91.4%,8.56,3.63
617,3 12 12 13,8.13,92.5%,8.55,3.35
618,4 4 4 5,8.13,85.3%,8.17,4.02
619,3 4 5 5,8.14,94%,8.85,3.82
620,3 7 10 11,8.16,90.8%,8.4,3.46
621,2 5 6 13,8.18,91.6%,8.59,3.66
622,5 8 12 12,8.18,75.2%,7.25,4
623,3 3 8 9,8.2,88.6%,8.57,4.01
624,5 8 8 13,8.2,92.5%,8.58,3.72
625,3 4 10 12,8.21,92.5%,8.61,3.59
626,2 3 4 8,8.22,93%,9.03,4.22
627,2 8 8 9,8.22,90.4%,8.57,3.46
628,2 7 8 11,8.23,95%,8.81,3.58
629,3 9 12 13,8.23,89.7%,8.73,4.06
630,10 11 12 13,8.23,95.9%,8.85,3.56
631,2 4 9 13,8.24,94%,8.64,3.53
632,4 5 8 9,8.26,89.3%,8.64,4.2
633,4 7 9 12,8.26,94.8%,8.74,3.3
634,6 6 7 10,8.26,84.2%,8.31,4.38
635,8 10 10 12,8.26,94.3%,8.72,3.45
636,1 3 6 9,8.27,92.9%,8.78,3.43
637,1 8 11 13,8.27,88.3%,8.45,3.63
638,2 5 6 7,8.27,92.6%,8.7,3.65
639,2 7 9 10,8.27,94.2%,8.71,3.26
640,1 3 6 13,8.28,92.2%,8.54,3.2
641,4 5 10 11,8.28,88.1%,8.67,4.46
642,4 8 8 9,8.28,92.3%,8.54,3.2
643,4 8 9 10,8.28,89%,8.49,3.55
644,6 7 8 10,8.28,91.3%,8.72,3.7
645,3 7 8 12,8.29,95.1%,8.81,3.28
646,4 4 6 12,8.31,94.3%,9,3.9
647,1 5 5 13,8.32,93.1%,8.53,3.27
648,3 5 8 8,8.32,92.2%,8.77,3.98
649,4 10 12 12,8.32,92.5%,8.81,3.55
650,1 6 11 12,8.33,88.8%,8.34,2.98
651,3 6 9 10,8.33,92.6%,8.73,3.67
652,4 6 8 12,8.34,94.1%,9,3.61
653,2 2 3 7,8.35,88.3%,8.63,3.87
654,2 4 8 11,8.35,93%,8.68,3.68
655,4 5 9 10,8.36,90.3%,8.7,3.74
656,1 4 9 11,8.39,94.4%,9.02,3.77
657,9 10 12 13,8.39,93.5%,8.95,3.66
658,2 2 6 10,8.4,95.6%,8.84,3.09
659,3 5 6 6,8.4,92.2%,8.91,3.67
660,4 4 10 12,8.4,90.9%,8.8,4.03
661,1 5 9 10,8.42,93.1%,8.95,3.96
662,2 4 8 12,8.42,94.1%,9.16,4.35
663,2 7 11 12,8.42,91.4%,8.79,3.53
664,1 2 8 9,8.43,93.5%,9,3.49
665,1 3 4 13,8.44,94.5%,8.95,3.71
666,2 2 4 11,8.44,92%,8.87,3.77
667,8 11 12 12,8.46,76.9%,7.66,3.91
668,2 8 9 10,8.47,88.5%,8.65,3.91
669,6 6 7 9,8.47,90.7%,8.83,3.72
670,1 3 4 9,8.48,94.7%,8.98,3.83
671,1 3 12 12,8.49,85.8%,8.81,4.86
672,2 4 8 8,8.49,93.8%,9.08,4.19
673,5 5 8 9,8.49,90%,8.98,4.06
674,6 8 8 10,8.49,90.9%,9.03,4.2
675,1 4 5 11,8.5,90.9%,8.79,4.09
676,1 2 2 7,8.52,91.9%,8.86,3.39
677,3 4 7 10,8.52,93.3%,8.82,3.52
678,5 8 9 11,8.53,89.8%,8.84,3.9
679,2 8 9 13,8.54,89.9%,8.73,3.74
680,3 4 9 11,8.54,89.7%,8.69,4.15
681,3 6 8 9,8.54,93.7%,8.93,3.18
682,5 6 9 10,8.55,90.8%,8.98,3.89
683,5 8 11 13,8.56,88.5%,8.65,3.57
684,2 4 4 4,8.58,94.8%,9.03,3.3
685,2 5 10 11,8.61,94.2%,9.14,3.67
686,1 6 12 13,8.62,89.4%,8.75,3.41
687,5 6 10 13,8.63,91.3%,9.36,4.39
688,1 2 6 13,8.64,91.2%,9.15,4.04
689,1 2 3 3,8.65,95.7%,9.01,3
690,2 8 8 11,8.65,83.8%,8.32,3.68
691,4 4 8 11,8.65,86.6%,8.6,3.84
692,2 4 7 10,8.66,91.4%,8.94,3.93
693,4 7 8 9,8.66,91.9%,9.06,3.85
694,2 10 11 13,8.67,89.9%,8.78,3.51
695,1 1 7 10,8.68,84.9%,8.65,4.5
696,2 3 10 13,8.68,93.7%,9.17,3.99
697,3 4 5 10,8.68,90.5%,9.06,4.17
698,2 6 6 10,8.69,94.2%,9.14,3.63
699,2 9 12 13,8.69,90.9%,9.08,3.89
700,2 3 3 7,8.7,92.1%,9.03,3.68
701,6 6 8 9,8.7,90.2%,9.01,3.66
702,3 3 7 11,8.71,92.2%,9.02,3.66
703,3 11 12 12,8.71,91.4%,9.1,3.52
704,2 4 6 6,8.72,94.1%,9.4,3.94
705,6 8 10 13,8.72,86.7%,8.84,3.93
706,1 4 9 10,8.73,93.6%,9.13,3.73
707,3 3 8 12,8.73,91.6%,9.24,4.01
708,2 9 10 11,8.74,88.8%,8.69,3.45
709,2 4 7 11,8.75,92.7%,9.13,3.87
710,5 5 8 8,8.76,84.8%,8.77,4.14
711,1 6 10 13,8.77,88.1%,8.98,4.27
712,2 4 6 9,8.78,92.1%,9.25,4.19
713,1 3 4 10,8.79,93.2%,9.09,3.51
714,2 8 11 12,8.79,88.4%,9.02,4.31
715,2 2 3 13,8.8,87.7%,8.87,3.8
716,4 4 4 9,8.8,87.8%,8.79,4.15
717,2 2 4 13,8.82,91%,9.3,4.22
718,3 6 7 12,8.82,90.3%,9.12,3.97
719,1 2 3 11,8.83,95.6%,9.21,3.42
720,1 2 5 13,8.83,94.5%,9.3,3.64
721,3 7 7 13,8.83,93.5%,9.17,3.24
722,4 4 7 12,8.83,89.5%,9.14,4.28
723,4 5 8 12,8.84,93.5%,9.36,3.83
724,1 2 7 8,8.85,94.8%,9.32,3.6
725,2 2 8 10,8.87,94.6%,9.4,3.33
726,4 4 4 11,8.87,86.2%,9,4.64
727,4 6 10 12,8.88,93.9%,9.43,4.06
728,2 3 5 9,8.9,92.2%,9.5,4.38
729,4 5 8 8,8.9,87%,9.04,4.22
730,1 3 9 13,8.92,93.6%,9.52,4.19
731,6 8 8 11,8.93,87%,9.09,4.15
732,4 5 6 7,8.96,89.7%,9.33,4.08
733,1 3 4 7,8.97,95.1%,9.77,3.98
734,1 11 13 13,8.97,91.1%,9.24,3.92
735,2 4 10 13,8.97,89.2%,9.35,4.55
736,5 5 9 10,8.97,86.9%,9.36,4.52
737,6 6 9 11,8.97,88.8%,9.31,4.23
738,6 8 9 13,8.97,94%,9.55,3.96
739,9 10 11 13,8.97,89.9%,9.27,3.91
740,2 4 9 9,8.98,90.2%,9.15,3.97
741,2 9 10 13,8.99,90%,9.46,4.19
742,4 8 9 11,8.99,92.8%,9.45,3.94
743,1 2 9 13,9,93.2%,9.53,4.21
744,3 9 9 10,9,86.7%,9,3.9
745,3 4 7 7,9.01,94.3%,9.63,3.84
746,2 5 7 10,9.03,92%,9.35,3.76
747,2 3 7 11,9.04,92.3%,9.4,4.27
748,4 11 12 13,9.04,91.3%,9.42,3.91
749,2 6 7 8,9.05,89.4%,9.32,4.09
750,3 10 11 12,9.06,89.3%,9.22,3.77
751,1 4 6 7,9.07,87%,9.21,4.77
752,7 8 8 11,9.07,81%,8.5,4.57
753,7 8 10 13,9.07,92.3%,9.58,4.17
754,2 8 9 11,9.08,90.7%,9.5,4.04
755,4 4 6 11,9.08,86.5%,9.06,4.64
756,1 4 5 10,9.11,91.3%,9.27,3.7
757,4 8 8 12,9.11,94.2%,9.63,3.92
758,1 2 4 5,9.12,90.6%,9.5,4.26
759,1 1 3 10,9.13,88.5%,9.15,3.93
760,3 5 9 12,9.14,89.9%,9.42,4.09
761,1 5 5 9,9.15,88.6%,9.29,3.79
762,1 5 6 8,9.17,90.5%,9.34,3.98
763,1 2 6 11,9.18,89.8%,9.54,4.41
764,2 3 4 13,9.18,91.2%,9.57,4.09
765,4 5 5 9,9.18,91.6%,9.55,3.96
766,3 5 6 9,9.2,92.8%,9.62,3.82
767,4 4 8 10,9.2,91%,9.55,4.56
768,5 5 6 7,9.2,91%,9.65,4.17
769,1 3 3 10,9.21,90.1%,9.32,4.15
770,1 5 9 11,9.21,93.1%,9.71,3.99
771,2 9 11 11,9.21,89.3%,9.46,4.13
772,3 7 10 13,9.21,88.1%,9.67,4.89
773,1 4 6 9,9.22,86.2%,9.14,4.25
774,2 2 3 6,9.22,91.8%,9.54,4.21
775,2 2 5 6,9.22,88.6%,9.51,4.56
776,2 3 9 9,9.22,91%,9.64,4
777,4 7 10 10,9.22,83.8%,8.97,4.23
778,2 5 8 13,9.23,93.1%,9.71,3.95
779,6 6 8 10,9.23,90.4%,9.47,4.23
780,3 4 4 5,9.24,91.3%,9.66,4.25
781,1 2 4 9,9.25,91%,9.68,4.08
782,2 2 5 7,9.26,89.2%,9.29,3.74
783,3 5 6 7,9.26,89.7%,9.31,3.9
784,1 3 5 10,9.27,93.2%,9.77,3.9
785,4 12 12 12,9.27,86.5%,9.6,4.94
786,5 7 8 8,9.27,82.4%,8.86,4.86
787,6 8 12 12,9.27,91.4%,9.9,4.38
788,6 6 8 11,9.28,82.9%,8.92,4.71
789,1 3 8 8,9.29,86.9%,9.4,4.56
790,5 6 6 10,9.29,89%,9.43,4.04
791,2 11 12 13,9.31,89.6%,9.69,4.18
792,3 9 10 12,9.32,90.1%,9.55,3.83
793,2 5 8 9,9.34,92.8%,9.69,3.83
794,2 8 8 10,9.34,93%,9.62,3.85
795,5 10 10 12,9.34,87.3%,9.28,3.69
796,4 5 10 13,9.35,91.5%,9.91,4.53
797,4 4 9 11,9.36,82%,8.96,4.83
798,4 5 9 13,9.36,89.1%,9.92,5.08
799,2 3 6 10,9.37,92.4%,9.62,3.89
800,3 6 12 13,9.38,86.4%,9.33,4.57
801,1 3 5 7,9.39,89.5%,9.68,4.19
802,2 2 3 11,9.4,86.2%,9.38,4.25
803,1 5 10 13,9.43,88.7%,9.43,3.56
804,4 4 8 13,9.43,86.4%,9.3,4.52
805,3 7 8 9,9.44,87.3%,9.44,4
806,3 4 6 12,9.45,93.4%,9.94,3.98
807,2 3 4 11,9.47,87.9%,9.61,4.31
808,6 6 8 13,9.47,83.2%,9.14,4.54
809,3 7 7 10,9.48,89.5%,9.82,4.36
810,2 2 5 11,9.49,87.6%,9.73,4.58
811,6 6 6 12,9.49,89.2%,9.65,4.62
812,2 2 6 8,9.5,95.3%,9.91,3.55
813,2 3 4 4,9.5,94.2%,9.92,3.65
814,2 3 8 12,9.5,93.4%,10.03,3.92
815,8 8 8 13,9.5,84.2%,9.44,4.41
816,2 3 3 9,9.51,93.2%,9.95,3.87
817,7 12 12 13,9.53,82.6%,9.26,4.29
818,4 4 5 10,9.54,85.9%,9.6,4.95
819,2 10 11 11,9.55,86.3%,9.46,4.06
820,6 8 11 13,9.56,86.4%,9.82,4.75
821,5 9 9 11,9.58,89.7%,9.88,3.92
822,1 2 7 9,9.59,93.4%,10.09,3.93
823,5 7 8 9,9.59,88.5%,9.74,4.26
824,3 3 6 9,9.61,94.4%,10.26,4
825,5 6 7 12,9.61,84.5%,9.56,4.45
826,3 3 4 9,9.62,92.3%,9.96,3.91
827,4 5 7 12,9.63,87.9%,9.6,4.07
828,2 3 8 11,9.64,92.7%,10.23,4.05
829,3 5 5 9,9.65,83.4%,9.19,4.23
830,3 9 11 12,9.66,90.4%,10.14,4.57
831,5 8 9 12,9.66,92.2%,10.09,4.05
832,6 6 6 8,9.66,91.5%,10,4.3
833,8 8 9 13,9.66,80.9%,9.16,5
834,1 6 9 10,9.67,92.1%,10,3.9
835,2 6 8 8,9.7,93%,10.13,4.17
836,3 4 7 11,9.7,86.7%,9.54,4.76
837,3 3 6 11,9.72,90.2%,10.02,4.54
838,2 5 6 10,9.73,88.5%,9.91,4.69
839,3 8 9 12,9.73,90.2%,10.19,4.59
840,1 9 11 13,9.74,87.6%,9.86,4.22
841,4 5 5 7,9.77,82.5%,9.28,4.4
842,2 4 4 7,9.78,89.3%,9.87,4.44
843,3 4 5 9,9.8,85%,9.6,4.71
844,4 7 8 13,9.82,90.9%,10.35,4.48
845,5 11 12 12,9.85,82.6%,9.36,4.41
846,4 7 7 11,9.87,87.6%,9.98,4.81
847,5 6 8 9,9.87,89.8%,10.14,4.45
848,3 3 5 9,9.88,87.5%,9.89,4.18
849,4 7 11 12,9.88,86.2%,9.99,5
850,2 3 6 11,9.91,90.2%,10.2,4.51
851,6 6 8 12,9.91,90.7%,10.22,4.36
852,4 5 7 11,9.92,87.1%,10.13,5.11
853,3 4 6 10,9.94,90%,10.35,4.9
854,2 7 9 13,9.95,87.4%,10.1,4.91
855,3 3 7 9,9.95,90.9%,10.21,3.87
856,3 5 9 13,9.95,91.5%,10.32,4.21
857,3 3 3 9,9.96,84.1%,9.75,4.99
858,5 7 9 13,9.96,91.2%,10.43,4.08
859,1 1 4 10,9.97,84.6%,9.66,5.23
860,3 8 8 11,9.97,90.1%,10.09,4.56
861,5 6 9 12,9.97,87.2%,10.05,4.37
862,2 4 5 9,9.99,86.4%,9.98,4.82
863,6 12 13 13,10,87.4%,10.01,3.8
864,6 9 10 11,10.02,91.7%,10.32,4.15
865,1 5 5 11,10.07,87.8%,10.18,4.29
866,1 7 12 12,10.07,80.4%,9.3,4.6
867,2 2 4 9,10.07,90.6%,10.31,4.5
868,1 2 5 10,10.08,91.9%,10.39,4.13
869,3 7 8 13,10.08,84.6%,10.07,5.21
870,2 3 9 13,10.11,87.7%,10.39,5.36
871,4 9 9 10,10.11,89.8%,10.41,4.23
872,1 5 6 13,10.12,90.7%,10.47,4.8
873,2 4 6 13,10.14,87.3%,10.39,5.13
874,4 4 5 7,10.16,85.1%,9.76,4.71
875,2 3 4 10,10.19,92%,10.57,4.44
876,4 9 12 12,10.19,89.6%,10.56,4.49
877,6 10 12 12,10.22,88.7%,10.51,4.63
878,3 3 6 10,10.23,86.6%,10.09,4.39
879,1 8 10 11,10.24,87.2%,10.27,3.58
880,6 7 9 12,10.24,86.2%,10.26,5.07
881,2 4 5 11,10.26,87.2%,10.37,4.82
882,4 5 6 10,10.27,90.5%,10.75,4.5
883,1 7 9 10,10.29,87%,10.17,4.04
884,6 6 8 8,10.31,86.2%,10.1,4.65
885,6 7 8 9,10.31,84.4%,10.06,4.58
886,6 11 11 12,10.31,86.7%,10.14,4.1
887,2 4 8 9,10.35,83.6%,9.99,4.52
888,1 5 10 11,10.36,86.1%,10.15,3.79
889,1 3 3 11,10.38,88.3%,10.33,4.82
890,2 4 12 12,10.38,86.1%,10.3,4.8
891,6 8 9 9,10.38,86.3%,10.43,4.37
892,3 3 3 5,10.39,85.6%,9.94,4.3
893,2 3 6 9,10.4,93.3%,10.89,4.26
894,5 5 5 9,10.4,87.6%,10.22,4.26
895,1 11 11 13,10.45,87.7%,10.35,4.33
896,4 9 11 12,10.45,88.1%,10.49,4.39
897,7 8 9 13,10.46,83.9%,10.11,4.41
898,5 6 8 12,10.47,87.6%,10.51,4.18
899,6 8 9 11,10.47,84.2%,10.3,4.92
900,1 2 4 7,10.48,89%,10.77,5.08
901,1 2 8 13,10.48,91.4%,10.72,4.82
902,4 6 7 10,10.48,86.9%,10.61,4.94
903,3 4 8 11,10.49,87%,10.39,5.06
904,5 5 6 11,10.5,87.1%,10.48,4.78
905,3 4 4 13,10.51,88.8%,10.57,4.42
906,1 4 5 13,10.53,87.9%,10.69,4.66
907,3 3 6 13,10.53,86.6%,10.73,5.48
908,2 4 6 12,10.54,94.5%,11.26,4.82
909,2 6 12 12,10.54,89.2%,10.85,5.22
910,7 9 9 13,10.54,87.6%,10.57,4.69
911,2 5 8 11,10.55,85.7%,10.65,5.28
912,2 6 8 12,10.55,94.2%,11.26,4.52
913,3 6 9 11,10.55,86.6%,10.33,4.85
914,3 6 9 12,10.55,92.9%,10.98,4.22
915,1 5 9 13,10.57,84.7%,10.48,4.97
916,3 4 6 11,10.58,88.9%,10.76,4.75
917,1 7 9 11,10.61,85.9%,10.46,4.32
918,5 5 8 10,10.63,80.5%,10.01,4.13
919,1 3 5 9,10.64,90.8%,10.94,4.71
920,6 9 12 13,10.65,88.3%,10.75,4.43
921,2 2 2 5,10.67,78.6%,9.52,4.99
922,2 4 6 7,10.68,89.8%,10.77,4.41
923,4 4 6 13,10.68,82.7%,10,5.32
924,1 3 6 11,10.7,88.1%,10.64,4.36
925,5 6 8 10,10.7,87.1%,10.75,4.66
926,2 2 8 8,10.72,91.2%,11.05,4.81
927,4 7 9 13,10.73,84.5%,10.77,5.94
928,4 5 6 8,10.74,87.3%,10.67,4.49
929,4 5 7 9,10.74,87%,10.89,5.25
930,3 3 7 12,10.75,84.2%,10.47,5.47
931,3 4 5 6,10.75,84%,10.54,5.38
932,3 3 6 7,10.78,88.5%,11.05,4.8
933,1 4 4 8,10.82,89.7%,10.97,5.58
934,2 2 7 12,10.84,83.6%,10.45,4.73
935,4 6 6 9,10.85,87.9%,11.08,5.55
936,5 8 11 12,10.85,87.1%,11.03,4.46
937,6 6 7 12,10.86,84.3%,10.56,5.02
938,1 3 9 9,10.87,84.9%,10.44,4.22
939,2 3 6 6,10.87,92.3%,11.34,4.46
940,2 3 9 10,10.88,89.9%,11.11,4.45
941,4 5 10 12,10.89,86.4%,10.68,4.52
942,6 7 8 11,10.91,83.9%,10.7,5.28
943,1 2 3 13,10.92,91.6%,11.28,4.86
944,1 2 7 11,10.92,88.3%,11.07,4.9
945,2 5 10 10,10.93,78.7%,10.04,4.31
946,6 9 9 11,10.97,82.2%,10.16,5.19
947,6 7 10 12,11.01,85.4%,11,4.92
948,2 3 6 13,11.02,90%,11.2,4.64
949,2 5 7 7,11.03,82.5%,10.55,4.76
950,5 6 7 13,11.04,86.2%,11.01,5.65
951,6 11 12 13,11.05,79.8%,10.09,5.26
952,3 4 6 8,11.06,90.5%,11.55,5.12
953,5 10 12 13,11.06,83%,10.53,4.56
954,1 4 4 11,11.07,86.5%,11.05,5.51
955,1 7 10 13,11.07,83.6%,10.61,4.74
956,1 2 6 10,11.1,86.6%,11.07,5.04
957,1 9 10 13,11.16,83.9%,10.67,4.63
958,1 3 8 13,11.21,90.2%,11.49,5.17
959,1 2 2 9,11.22,82.4%,10.43,4.75
960,1 6 6 6,11.23,85.9%,10.69,5.16
961,3 3 4 11,11.24,88.5%,11.33,5.6
962,4 4 8 12,11.24,92%,11.95,5.28
963,6 10 12 13,11.25,81.8%,10.66,5
964,7 8 8 12,11.25,82.5%,10.68,4.66
965,2 7 12 13,11.29,80%,10.4,5.27
966,3 4 9 13,11.32,78.9%,9.97,5.6
967,2 4 5 6,11.35,91.1%,11.75,4.5
968,2 6 8 13,11.36,86.5%,11.25,5.25
969,3 5 7 10,11.36,84.7%,11.04,5.28
970,5 9 12 12,11.37,82.8%,11.12,4.95
971,2 3 4 7,11.38,86.5%,11.17,4.99
972,2 2 5 12,11.39,84%,11.03,5.31
973,3 3 9 12,11.4,87.1%,11.39,5.11
974,2 3 4 9,11.42,88.3%,11.45,4.9
975,2 3 10 12,11.42,87%,11.55,4.29
976,3 3 6 12,11.42,87.3%,11.64,5.96
977,5 5 8 13,11.44,81.1%,10.9,4.61
978,2 6 7 11,11.46,82.7%,10.97,5.4
979,5 8 10 11,11.46,87.5%,11.27,4.94
980,1 5 6 7,11.53,89.4%,11.83,4.83
981,2 4 6 8,11.53,93.5%,11.94,4.42
982,5 8 8 8,11.55,81.1%,11,5.43
983,6 8 8 12,11.56,88.1%,11.72,5.1
984,4 9 10 13,11.59,82.3%,11.09,4.95
985,7 7 8 11,11.59,79.9%,10.52,4.76
986,3 4 6 6,11.6,90.6%,11.75,4.8
987,1 3 7 10,11.64,86.2%,11.57,5.45
988,2 4 9 12,11.64,87.1%,11.54,4.94
989,2 3 3 10,11.66,85%,11.7,5.07
990,4 4 5 11,11.67,85.2%,11.5,4.85
991,4 10 12 13,11.69,81.6%,10.92,5.77
992,2 4 4 6,11.71,90%,11.98,4.84
993,5 6 6 8,11.75,81.1%,11.06,6.23
994,1 5 12 12,11.78,80.5%,10.73,5.12
995,2 3 4 5,11.78,84.4%,11.28,5.67
996,3 9 10 13,11.78,82.5%,11.66,6.73
997,4 4 7 10,11.78,74.8%,9.55,4.77
998,8 8 10 12,11.78,78.2%,10.35,5.98
999,4 4 9 12,11.8,78.2%,10.65,5.02
1000,1 3 4 8,11.81,89.6%,12.03,4.84
1001,2 4 6 11,11.81,85%,11.47,5.65
1002,2 2 8 9,11.82,86.7%,11.96,5.25
1003,3 7 9 11,11.82,88.4%,11.96,4.87
1004,2 3 5 7,11.83,89.4%,11.92,4.97
1005,1 5 7 9,11.84,84.9%,11.36,4.97
1006,1 4 7 7,11.85,85.1%,11.6,4.82
1007,1 6 7 9,11.85,84.3%,11.5,4.8
1008,1 3 7 12,11.86,85.4%,11.38,5.14
1009,3 3 5 13,11.87,85.2%,11.6,4.83
1010,3 4 8 12,11.91,87.7%,11.83,5.67
1011,3 6 7 13,11.91,82.5%,11.19,6.15
1012,4 5 6 13,12.01,78.3%,10.62,5.22
1013,7 8 10 10,12.03,78.9%,11.21,5.3
1014,8 9 9 12,12.03,82.3%,11.23,4.86
1015,4 5 5 10,12.04,81.7%,11.21,4.51
1016,4 8 11 13,12.06,82.4%,11.22,5.49
1017,3 3 5 12,12.07,86.9%,12,5.39
1018,1 4 8 9,12.09,88.7%,12.28,5.3
1019,3 5 10 13,12.09,82.5%,11.27,5.48
1020,3 4 6 9,12.13,82.6%,11.42,5.82
1021,4 6 7 12,12.13,81.5%,11.69,5.75
1022,2 7 9 11,12.17,83.4%,11.72,5.56
1023,3 5 6 10,12.17,85.7%,11.94,5.67
1024,3 5 7 9,12.17,86%,11.89,5.12
1025,6 8 9 12,12.18,86.2%,12.07,5.23
1026,5 5 8 12,12.2,79.2%,11.17,5.16
1027,1 3 3 6,12.21,87.3%,12.19,5.22
1028,1 3 7 7,12.22,85.2%,11.87,4.85
1029,2 5 6 6,12.23,78.3%,10.7,6.22
1030,2 5 8 10,12.24,82.2%,11.34,5.02
1031,3 7 8 11,12.29,83.1%,11.76,6.05
1032,2 3 7 13,12.3,86.2%,12.1,5.45
1033,2 6 10 13,12.3,84.8%,11.82,5.63
1034,2 3 5 13,12.33,86.1%,12.24,5.44
1035,3 7 9 12,12.33,85.6%,12.07,5.72
1036,6 7 9 9,12.34,80.5%,11.5,6.26
1037,4 6 6 12,12.36,85.8%,12.14,6.15
1038,5 8 10 12,12.38,83.9%,11.65,5.31
1039,1 5 8 11,12.39,89.3%,12.72,5.61
1040,4 6 8 13,12.4,80.1%,11.29,5.27
